prodi pilihan 1,prodi pilihan 2,prodi pilihan 3
UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),UIN Walisongo Semarang  - Ekonomi Syariah / Ekonomi Islam
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,UIN Sunan Kalijaga Yogyakarta  - Ilmu Hadis
UIN Walisongo Semarang  - Pendidikan Bahasa Inggris,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Aqidah dan Filsafat Islam,UIN Walisongo Semarang  - Ilmu Al Qur'an dan Tafsir (Tafsir Hadits),UIN Walisongo Semarang  - Komunikasi dan Penyiaran Islam
UIN Sunan Kalijaga Yogyakarta  - Studi Agama-Agama,IAIN Purwokerto  - Pendidikan Bahasa Arab,UIN Walisongo Semarang  - Aqidah dan Filsafat Islam
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Sejarah dan Kebudayaan Islam,UIN Sunan Kalijaga Yogyakarta  - Pengembangan Masyarakat Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Hukum Ekonomi Syari'ah (Muamalah),IAIN Ponorogo  - Ekonomi Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Manajemen Dakwah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah)
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah)
UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),UIN Sunan Gunung Djati Bandung  - Manajemen Haji dan Umrah,UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah)
UIN Sunan Kalijaga Yogyakarta  - Manajemen Dakwah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,IAIN Surakarta - Manajemen Dakwah
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),IAIN Surakarta - Pendidikan Agama Islam,UIN Ar-Raniry Banda Aceh - Pendidikan Guru Madrasah Ibtidaiyah
IAIN Surakarta - Pendidikan Bahasa Inggris,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab,IAIN Kudus  - Pendidikan Bahasa Arab
UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,IAIN Surakarta - Ilmu Al-Quran dan Tafsir,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab
UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,IAIN Surakarta - Hukum Keluarga Islam
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,IAIN Purwokerto  - Ekonomi Syariah,UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Islam Anak Usia Dini,UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Sejarah dan Kebudayaan Islam
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Aqidah dan Filsafat Islam,UIN Sunan Kalijaga Yogyakarta  - Sosiologi Agama
UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Walisongo Semarang  - Manajemen Haji dan Umrah,IAIN Purwokerto  - Ekonomi Syariah
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),UIN Syarif Hidayatullah Jakarta - Pendidikan Guru MI,UIN Maulana Malik Ibrahim Malang  - Pendidikan Guru Madrasah Ibtidaiyah
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab,IAIN Surakarta - Pendidikan Bahasa Arab,IAIN Surakarta - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),IAIN Surakarta - Psikologi Islam,UIN Walisongo Semarang  - Ilmu Falak
UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Sunan Kalijaga Yogyakarta  - Hukum Ekonomi Syari'ah (Muamalah),UIN Syarif Hidayatullah Jakarta - Hukum Tata Negara (Siyasah)
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Walisongo Semarang  - Hukum Keluarga Islam (al-Ahwal al-Syakhsiyyah)
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Bahasa dan Sastra Arab,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Sejarah dan Kebudayaan Islam,UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab,UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Syarif Hidayatullah Jakarta - Ekonomi Syariah,UIN Sunan Gunung Djati Bandung  - Ekonomi Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam,UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,IAIN Surakarta - Bahasa dan Sastra Arab,IAIN Salatiga  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Sejarah dan Kebudayaan Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI)
UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Walisongo Semarang  - Komunikasi dan Penyiaran Islam
UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Sunan Kalijaga Yogyakarta  - Sejarah dan Kebudayaan Islam
UIN Sunan Kalijaga Yogyakarta  - Aqidah dan Filsafat Islam,IAIN Salatiga  - Aqidah dan Filsafat Islam,IAIN Surakarta - Aqidah dan Filsafat Islam
UIN Walisongo Semarang  - Pendidikan Bahasa Inggris,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir
UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Walisongo Semarang  - Hukum Keluarga Islam (al-Ahwal al-Syakhsiyyah)
UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,IAIN Surakarta - Manajemen Bisnis Syariah
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,IAIN Surakarta - Manajemen Bisnis Syariah,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab,UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir
UIN Maulana Malik Ibrahim Malang  - Hukum Tata Negara (Siyasah),UIN Walisongo Semarang  - Aqidah dan Filsafat Islam,UIN Sunan Kalijaga Yogyakarta  - Aqidah dan Filsafat Islam
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Islam Anak Usia Dini,UIN Sunan Kalijaga Yogyakarta  - Manajemen Dakwah,UIN Sunan Kalijaga Yogyakarta  - Sejarah dan Kebudayaan Islam
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,IAIN Surakarta - Pendidikan Bahasa Arab
UIN Sunan Kalijaga Yogyakarta  - Sejarah dan Kebudayaan Islam,UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Sosiologi Agama,UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah)
UIN Sunan Kalijaga Yogyakarta  - Hukum Ekonomi Syari'ah (Muamalah),UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Walisongo Semarang  - Ekonomi Syariah / Ekonomi Islam,IAIN Purwokerto  - Ekonomi Syariah
UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Sunan Kalijaga Yogyakarta  - Hukum Ekonomi Syari'ah (Muamalah),UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah
UIN Walisongo Semarang  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Sejarah dan Kebudayaan Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Bahasa dan Sastra Arab,UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah
UIN Walisongo Semarang  - Pendidikan Guru Madrasah Ibtidaiyah,UIN Walisongo Semarang  - Pengembangan Masyarakat Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI)
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam
UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,IAIN Tulungagung  - Manajemen Keuangan Syariah
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Walisongo Semarang  - Ilmu Seni dan Arsitektur Islam
UIN Sunan Kalijaga Yogyakarta  - Studi Agama-Agama,UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Sunan Kalijaga Yogyakarta  - Aqidah dan Filsafat Islam
UIN Sunan Kalijaga Yogyakarta  - Hukum Ekonomi Syari'ah (Muamalah),UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah)
UIN Sunan Kalijaga Yogyakarta  - Hukum Ekonomi Syari'ah (Muamalah),UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah)
UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam,UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Dakwah
UIN Sunan Kalijaga Yogyakarta  - Aqidah dan Filsafat Islam,UIN Sunan Kalijaga Yogyakarta  - Sejarah dan Kebudayaan Islam,UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir
UIN Sunan Kalijaga Yogyakarta  - Sosiologi Agama,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Pengembangan Masyarakat Islam
UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,IAIN Surakarta - Bimbingan dan Konseling Islam,IAIN Surakarta - Pendidikan Islam Anak Usia Dini
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),IAIN Surakarta - Pendidikan Guru Madrasah Ibtidaiyah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam
UIN Sunan Kalijaga Yogyakarta  - Aqidah dan Filsafat Islam,UIN Sunan Kalijaga Yogyakarta  - Sosiologi Agama,UIN Sunan Kalijaga Yogyakarta  - Sejarah dan Kebudayaan Islam
UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Bahasa dan Sastra Arab,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Hukum Ekonomi Syari'ah (Muamalah)
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Maulana Malik Ibrahim Malang  - Hukum Ekonomi Syari'ah,UIN Sunan Ampel Surabaya  - Ekonomi Syariah
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Hukum Ekonomi Syari'ah (Muamalah),UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Sosiologi Agama
UIN Sunan Kalijaga Yogyakarta  - Bahasa dan Sastra Arab,UIN Sunan Ampel Surabaya  - Bahasa dan Sastra Arab,UIN Syarif Hidayatullah Jakarta - Bahasa dan Sastra Arab
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,UIN Sunan Kalijaga Yogyakarta  - Pengembangan Masyarakat Islam
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Sosiologi Agama,UIN Sunan Kalijaga Yogyakarta  - Pengembangan Masyarakat Islam
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,IAIN Surakarta - Pendidikan Agama Islam,IAIN Surakarta - Bimbingan dan Konseling Islam
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Ilmu Hadis,UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,
UIN Walisongo Semarang  - Hukum Pidana Islam (Jinayah),UIN Sunan Ampel Surabaya  - Hukum Ekonomi Syariah (Muamalah),UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah)
UIN Maulana Malik Ibrahim Malang  - Manajemen Pendidikan Islam (MPI),UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,UIN Walisongo Semarang  - Manajemen Pendidikan Islam
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Islam Anak Usia Dini,UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),UIN Walisongo Semarang  - Manajemen Pendidikan Islam
UIN Sunan Kalijaga Yogyakarta  - Hukum Ekonomi Syari'ah (Muamalah),UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah)
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,IAIN Surakarta - Manajemen Bisnis Syariah,IAIN Surakarta - Bimbingan dan Konseling Islam
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),UIN Sunan Kalijaga Yogyakarta  - Manajemen Dakwah
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam
UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab,UIN Sunan Kalijaga Yogyakarta  - Manajemen Dakwah
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Islam Anak Usia Dini,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),
UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam
UIN Sunan Kalijaga Yogyakarta  - Bahasa dan Sastra Arab,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam
UIN Sunan Kalijaga Yogyakarta  - Bahasa dan Sastra Arab,UIN Sunan Kalijaga Yogyakarta  - Sejarah dan Kebudayaan Islam,UIN Sunan Kalijaga Yogyakarta  - Ilmu Hadis
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Walisongo Semarang  - Ekonomi Syariah / Ekonomi Islam,IAIN Salatiga  - Manajemen Bisnis Syariah
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Maulana Malik Ibrahim Malang  - Hukum Tata Negara (Siyasah),UIN Sunan Kalijaga Yogyakarta  - Sosiologi Agama
UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,IAIN Surakarta - Manajemen Bisnis Syariah
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Pengembangan Masyarakat Islam,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Manajemen Dakwah,UIN Sunan Kalijaga Yogyakarta  - Pengembangan Masyarakat Islam
UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,UIN Sunan Kalijaga Yogyakarta  - Sosiologi Agama,UIN Sunan Kalijaga Yogyakarta  - Sejarah dan Kebudayaan Islam
UIN Sunan Kalijaga Yogyakarta  - Pengembangan Masyarakat Islam,UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI)
UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Walisongo Semarang  - Akuntansi Syariah
UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Sejarah dan Kebudayaan Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah)
UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,IAIN Purwokerto  - Ekonomi Syariah
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab,UIN Walisongo Semarang  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,IAIN Surakarta - Hukum Keluarga Islam
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,,
UIN Sunan Kalijaga Yogyakarta  - Sejarah dan Kebudayaan Islam,UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),IAIN Purwokerto  - Hukum Keluarga Islam (HKI)
UIN Sunan Kalijaga Yogyakarta  - Aqidah dan Filsafat Islam,UIN Sunan Kalijaga Yogyakarta  - Sosiologi Agama,UIN Sunan Kalijaga Yogyakarta  - Perbandingan Madzhab
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI)
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,IAIN Surakarta - Pendidikan Agama Islam,IAIN Surakarta - Pendidikan Islam Anak Usia Dini
UIN Sunan Kalijaga Yogyakarta  - Manajemen Dakwah,UIN Walisongo Semarang  - Manajemen Haji dan Umrah,UIN Sunan Gunung Djati Bandung  - Manajemen Haji dan Umrah
UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),UIN Sunan Kalijaga Yogyakarta  - Ilmu Hadis
UIN Sunan Kalijaga Yogyakarta  - Bahasa dan Sastra Arab,UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Sunan Kalijaga Yogyakarta  - Perbandingan Madzhab
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),UIN Sunan Kalijaga Yogyakarta  - Manajemen Dakwah,UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam
UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),UIN Sunan Kalijaga Yogyakarta  - Sejarah dan Kebudayaan Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),UIN Sunan Kalijaga Yogyakarta  - Sosiologi Agama
UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),UIN Syarif Hidayatullah Jakarta - Hukum Keluarga (Ahwal Syakhsiyah),IAIN Salatiga  - Hukum Keluarga Islam (Ahwal Al-Syakhshiyyah)
UIN Sunan Kalijaga Yogyakarta  - Manajemen Dakwah,UIN Walisongo Semarang  - Hukum Keluarga Islam (al-Ahwal al-Syakhsiyyah),IAIN Surakarta - Manajemen Dakwah
UIN Syarif Hidayatullah Jakarta - Perbankan Syariah,UIN Walisongo Semarang  - Pendidikan Bahasa Inggris,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),UIN Sunan Kalijaga Yogyakarta  - Pengembangan Masyarakat Islam,UIN Sunan Kalijaga Yogyakarta  - Sosiologi Agama
UIN Sunan Kalijaga Yogyakarta  - Manajemen Dakwah,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI)
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Islam Anak Usia Dini,UIN Walisongo Semarang  - Pendidikan Islam Anak Usia Dini,IAIN Kudus  - Pendidikan Islam Anak Usia Dini (PIAUD)
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam
